protein1 protein2 experimental
511145.b0093 511145.b2748 999
511145.b0093 511145.b2606 800
511145.b0093 511145.b3185 800
511145.b0093 511145.b3312 800
511145.b0093 511145.b3983 800
511145.b0093 511145.b3308 800
511145.b0093 511145.b3306 800
511145.b0093 511145.b3165 800
511145.b0093 511145.b3984 800
511145.b0093 511145.b1089 800
511145.b0093 511145.b3230 800
511145.b0093 511145.b3300 968
511145.b0094 511145.b0095 999
511145.b0094 511145.b3933 925
511145.b0095 511145.b0102 884
511145.b0095 511145.b3251 848
511145.b0095 511145.b0946 944
511145.b0095 511145.b2412 999
511145.b0095 511145.b3641 849
511145.b0095 511145.b1176 849
511145.b0095 511145.b0958 931
511145.b0097 511145.b3306 800
511145.b0097 511145.b3983 975
511145.b0097 511145.b3308 800
511145.b0097 511145.b3231 800
511145.b0097 511145.b2609 800
511145.b0097 511145.b3312 800
511145.b0097 511145.b4202 800
511145.b0097 511145.b2606 800
511145.b0097 511145.b3185 800
511145.b0097 511145.b3230 800
511145.b0097 511145.b1089 800
511145.b0097 511145.b3297 800
511145.b0097 511145.b0169 800
511145.b0097 511145.b1716 800
511145.b0097 511145.b3165 800
511145.b0097 511145.b3310 800
511145.b0097 511145.b3342 800
511145.b0097 511145.b3703 800
511145.b0097 511145.b4203 800
511145.b0097 511145.b3307 800
511145.b0097 511145.b2185 800
511145.b0097 511145.b3296 800
511145.b0097 511145.b3316 800
511145.b0097 511145.b3302 800
511145.b0097 511145.b3314 800
511145.b0097 511145.b3065 800
511145.b0097 511145.b3636 800
511145.b0097 511145.b3294 800
511145.b0097 511145.b3321 800
511145.b0097 511145.b3341 800
511145.b0097 511145.b3637 800
511145.b0097 511145.b3313 800
511145.b0097 511145.b3303 800
511145.b0097 511145.b3320 800
511145.b0097 511145.b3301 800
511145.b0097 511145.b3309 800
511145.b0097 511145.b4200 800
511145.b0097 511145.b3311 800
511145.b0097 511145.b3318 800
511145.b0097 511145.b3319 900
511145.b0097 511145.b3298 800
511145.b0097 511145.b3304 800
511145.b0097 511145.b3315 900
511145.b0097 511145.b3299 800
511145.b0097 511145.b3305 800
511145.b0097 511145.b3317 800
511145.b0097 511145.b1717 800
511145.b0097 511145.b3186 800
511145.b0098 511145.b1716 800
511145.b0098 511145.b3609 952
511145.b0098 511145.b0957 850
511145.b0098 511145.b3231 800
511145.b0098 511145.b3305 800
511145.b0098 511145.b4036 969
511145.b0098 511145.b1717 800
511145.b0098 511145.b3186 800
511145.b0098 511145.b3319 806
511145.b0098 511145.b3981 932
511145.b0098 511145.b3304 800
511145.b0098 511145.b3309 800
511145.b0098 511145.b3301 800
511145.b0098 511145.b3310 800
511145.b0098 511145.b4203 800
511145.b0098 511145.b3636 800
511145.b0098 511145.b3302 800
511145.b0098 511145.b1089 800
511145.b0098 511145.b0736 747
511145.b0098 511145.b1094 850
511145.b0098 511145.b3300 999
511145.b0098 511145.b3175 978
511145.b0098 511145.b3312 900
511145.b0098 511145.b3185 800
511145.b0098 511145.b2606 800
511145.b0098 511145.b3985 800
511145.b0098 511145.b3308 800
511145.b0098 511145.b2516 901
511145.b0098 511145.b3983 807
511145.b0098 511145.b3317 800
511145.b0098 511145.b3318 903
511145.b0098 511145.b3299 800
511145.b0098 511145.b3315 807
511145.b0098 511145.b3637 800
511145.b0098 511145.b3313 800
511145.b0098 511145.b3320 800
511145.b0098 511145.b0383 908
511145.b0098 511145.b3703 800
511145.b0098 511145.b3294 800
511145.b0098 511145.b2185 800
511145.b0101 511145.b2231 931
511145.b0101 511145.b3699 946
511145.b0104 511145.b0237 848
511145.b0104 511145.b2908 774
511145.b0114 511145.b0115 903
511145.b0114 511145.b0424 832
511145.b0115 511145.b0116 919
511145.b0119 511145.b3357 845
511145.b0131 511145.b3459 900
511145.b0133 511145.b0480 753
511145.b0139 511145.b0642 723
511145.b0143 511145.b3164 832
511145.b0143 511145.b4172 832
511145.b0145 511145.b3295 800
511145.b0145 511145.b3988 947
511145.b0145 511145.b3067 800
511145.b0145 511145.b3649 800
511145.b0145 511145.b3987 900
511145.b0146 511145.b0243 774
511145.b0149 511145.b3933 867
511145.b0149 511145.b1105 848
511145.b0150 511145.b1252 998
511145.b0151 511145.b0152 720
511145.b0151 511145.b0153 802
511145.b0152 511145.b0153 802
511145.b0158 511145.b1709 800
511145.b0158 511145.b1711 999
511145.b0161 511145.b3347 850
511145.b0161 511145.b2215 985
511145.b0161 511145.b0929 854
511145.b0161 511145.b0957 940
511145.b0167 511145.b0450 845
511145.b0167 511145.b2553 845
511145.b0168 511145.b3309 719
511145.b0168 511145.b3304 730
511145.b0168 511145.b3287 800
511145.b0168 511145.b3231 725
511145.b0168 511145.b3313 704
511145.b0168 511145.b3317 711
511145.b0168 511145.b3302 714
511145.b0168 511145.b3310 713
511145.b0168 511145.b3305 703
511145.b0168 511145.b3319 718
511145.b0168 511145.b3320 720
511145.b0168 511145.b3315 716
511145.b0168 511145.b3318 753
511145.b0168 511145.b3312 726
511145.b0168 511145.b3308 715
511145.b0169 511145.b3313 945
511145.b0169 511145.b3637 945
511145.b0169 511145.b3168 744
511145.b0169 511145.b3303 973
511145.b0169 511145.b3320 945
511145.b0169 511145.b3703 945
511145.b0169 511145.b3342 945
511145.b0169 511145.b2620 935
511145.b0169 511145.b3987 810
511145.b0169 511145.b3307 945
511145.b0169 511145.b2185 945
511145.b0169 511145.b3316 945
511145.b0169 511145.b3296 945
511145.b0169 511145.b0424 832
511145.b0169 511145.b3294 945
511145.b0169 511145.b3314 987
511145.b0169 511145.b4161 826
511145.b0169 511145.b3317 945
511145.b0169 511145.b3649 902
511145.b0169 511145.b3982 807
511145.b0169 511145.b1282 744
511145.b0169 511145.b3318 945
511145.b0169 511145.b3315 945
511145.b0169 511145.b0911 967
511145.b0169 511145.b3556 800
511145.b0169 511145.b3299 932
511145.b0169 511145.b3986 975
511145.b0169 511145.b3312 945
511145.b0169 511145.b2567 733
511145.b0169 511145.b0643 715
511145.b0169 511145.b2606 945
511145.b0169 511145.b3185 945
511145.b0169 511145.b2610 722
511145.b0169 511145.b1211 931
511145.b0169 511145.b3306 972
511145.b0169 511145.b3985 999
511145.b0169 511145.b2891 983
511145.b0169 511145.b0884 744
511145.b0169 511145.b3983 999
511145.b0169 511145.b3936 926
511145.b0169 511145.b3308 945
511145.b0169 511145.b3980 807
511145.b0169 511145.b1089 945
511145.b0169 511145.b0953 800
511145.b0169 511145.b3165 945
511145.b0169 511145.b3984 975
511145.b0169 511145.b3170 800
511145.b0169 511145.b3203 990
511145.b0169 511145.b2569 987
511145.b0169 511145.b3167 800
511145.b0169 511145.b3300 914
511145.b0169 511145.b3230 945
511145.b0169 511145.b3321 999
511145.b0169 511145.b3341 945
511145.b0169 511145.b4550 999
511145.b0169 511145.b3301 992
511145.b0169 511145.b3309 945
511145.b0169 511145.b4200 945
511145.b0169 511145.b3311 945
511145.b0169 511145.b3988 810
511145.b0169 511145.b0436 896
511145.b0169 511145.b4203 945
511145.b0169 511145.b3310 945
511145.b0169 511145.b3295 977
511145.b0169 511145.b3302 945
511145.b0169 511145.b2784 999
511145.b0169 511145.b3065 972
511145.b0169 511145.b3636 945
511145.b0169 511145.b3305 945
511145.b0169 511145.b0296 926
511145.b0169 511145.b0172 945
511145.b0169 511145.b1717 945
511145.b0169 511145.b3186 945
511145.b0169 511145.b3298 945
511145.b0169 511145.b3339 999
511145.b0169 511145.b3287 975
511145.b0169 511145.b3319 947
511145.b0169 511145.b3304 945
511145.b0169 511145.b3169 800
511145.b0169 511145.b3981 800
511145.b0169 511145.b2609 945
511145.b0169 511145.b4375 800
511145.b0169 511145.b4202 945
511145.b0169 511145.b0957 800
511145.b0169 511145.b2331 800
511145.b0169 511145.b3707 800
511145.b0169 511145.b4506 926
511145.b0169 511145.b0191 838
511145.b0169 511145.b3231 999
511145.b0169 511145.b4147 990
511145.b0169 511145.b3590 944
511145.b0169 511145.b3340 945
511145.b0169 511145.b3297 945
511145.b0169 511145.b1716 945
511145.b0170 511145.b3339 999
511145.b0170 511145.b0911 800
511145.b0170 511145.b3980 983
511145.b0172 511145.b4202 886
511145.b0172 511145.b2609 945
511145.b0172 511145.b3231 945
511145.b0172 511145.b1716 945
511145.b0172 511145.b3297 945
511145.b0172 511145.b3340 988
511145.b0172 511145.b3311 934
511145.b0172 511145.b3309 945
511145.b0172 511145.b4200 941
511145.b0172 511145.b3301 945
511145.b0172 511145.b3341 945
511145.b0172 511145.b3321 945
511145.b0172 511145.b3065 800
511145.b0172 511145.b3636 945
511145.b0172 511145.b3302 886
511145.b0172 511145.b4203 945
511145.b0172 511145.b3310 944
511145.b0172 511145.b3186 945
